,subtree,WHO_max,percent_common,pred
0,13311,['3c2.A'],"[['3c2.A', 0.4774590163934426], ['A1b/135K', 0.06454918032786885], ['A1b', 0.35655737704918034], ['A1b/131K', 0.0030737704918032786], ['3c2', 0.02151639344262295], ['A1', 0.01331967213114754], ['A3', 0.0020491803278688526], ['A1b/135N', 0.06147540983606557]]",1.0
1,13312,['3c2.A'],"[['3c2.A', 0.4758522727272727], ['A1b/135K', 0.08948863636363637], ['A1b', 0.3025568181818182], ['A1b/131K', 0.004261363636363636], ['3c2', 0.022727272727272728], ['A1', 0.017045454545454544], ['A3', 0.002840909090909091], ['A1b/135N', 0.08522727272727272]]",1.0
2,13314,['3c2.A'],"[['3c2.A', 0.47514619883040937], ['A1b/135K', 0.09210526315789473], ['A1b', 0.29678362573099415], ['A1b/131K', 0.0043859649122807015], ['3c2', 0.023391812865497075], ['A1', 0.017543859649122806], ['A3', 0.0029239766081871343], ['A1b/135N', 0.08771929824561403]]",1.0
3,13404,"['3c2.A', 'A1b/135K']","[['3c2.A', 0.5], ['A1b/135K', 0.5]]",1.0
4,13405,"['3c2.A', 'A1b/135K']","[['3c2.A', 0.5], ['A1b/135K', 0.5]]",1.0
5,13459,"['3c2.A', 'A1b']","[['3c2.A', 0.5], ['A1b', 0.5]]",1.0
6,13487,"['3c2.A', 'A1b']","[['3c2.A', 0.5], ['A1b', 0.5]]",0.0
7,13518,"['3c2.A', 'A1b/135N']","[['3c2.A', 0.48333333333333334], ['A1b/135N', 0.5], ['3c2', 0.016666666666666666]]",1.0
8,13534,"['3c2.A', 'A1b/135N']","[['3c2.A', 0.5], ['A1b/135N', 0.5]]",1.0
9,13543,"['3c2.A', 'A1b/135N']","[['3c2.A', 0.5], ['A1b/135N', 0.5]]",0.0
10,13563,"['3c2.A', 'A1b/135N']","[['3c2.A', 0.5], ['A1b/135N', 0.5]]",0.0
11,13590,"['3c2.A', 'A1b']","[['3c2.A', 0.4878048780487805], ['A1b', 0.4878048780487805], ['A3', 0.024390243902439025]]",0.0
12,13612,['A1'],"[['3c2.A', 0.3888888888888889], ['A1', 0.5], ['3c2', 0.1111111111111111]]",1.0
13,13656,"['3c2.A', 'A1b']","[['3c2.A', 0.5], ['A1b', 0.5]]",0.0
14,13666,"['3c2.A', 'A1b']","[['3c2.A', 0.4824561403508772], ['A1b', 0.4956140350877193], ['3c2', 0.017543859649122806], ['A1', 0.0043859649122807015]]",1.0
15,13694,"['3c2.A', 'A1b']","[['3c2.A', 0.5], ['A1b', 0.5]]",0.0
16,13709,"['3c2.A', 'A1b']","[['3c2.A', 0.46875], ['A1b', 0.5], ['3c2', 0.03125]]",1.0
17,13714,"['3c2.A', 'A1b']","[['3c2.A', 0.4642857142857143], ['A1b', 0.5], ['3c2', 0.03571428571428571]]",0.0
18,13715,"['3c2.A', 'A1b']","[['3c2.A', 0.4444444444444444], ['A1b', 0.5], ['3c2', 0.05555555555555555]]",1.0
19,13741,"['3c2.A', 'A1b']","[['3c2.A', 0.5], ['A1b', 0.5]]",0.0
20,13780,"['3c2.A', 'A1b']","[['3c2.A', 0.46875], ['A1b', 0.5], ['3c2', 0.03125]]",1.0
21,13811,"['3c2.A', 'A1']","[['3c2.A', 0.45454545454545453], ['A1', 0.45454545454545453], ['A3', 0.09090909090909091]]",0.0
22,13827,"['A1', '3c2.A']","[['3c2', 0.038461538461538464], ['A1', 0.5], ['3c2.A', 0.46153846153846156]]",0.0
23,13845,"['3c2.A', 'A1']","[['3c2.A', 0.4831081081081081], ['A1', 0.5], ['3c2', 0.016891891891891893]]",1.0
24,13846,"['3c2.A', 'A1']","[['3c2.A', 0.4759036144578313], ['A1', 0.5], ['3c2', 0.024096385542168676]]",0.0
25,13882,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
26,13928,"['3c2.A', 'A1']","[['3c2.A', 0.49230769230769234], ['A1', 0.5], ['3c2', 0.007692307692307693]]",1.0
27,13929,"['3c2.A', 'A1']","[['3c2.A', 0.49056603773584906], ['A1', 0.5], ['3c2', 0.009433962264150943]]",0.0
28,13981,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
29,14005,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
30,14041,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",0.0
31,14051,"['3c2.A', 'A1']","[['3c2.A', 0.5], ['A1', 0.5]]",1.0
32,14071,['3c2.A'],"[['3c2.A', 0.6521739130434783], ['3c2', 0.043478260869565216], ['A1', 0.30434782608695654]]",1.0
33,14075,['3c2.A'],"[['3c2.A', 0.8888888888888888], ['3c2', 0.1111111111111111]]",0.0
34,14141,"['3c2.A', 'A1a']","[['3c2.A', 0.4945054945054945], ['A1a', 0.4945054945054945], ['3c2', 0.005494505494505495], ['A1', 0.005494505494505495]]",0.0
35,14239,"['3c2.A', 'A1a']","[['3c2.A', 0.5087719298245614], ['A1a', 0.49122807017543857]]",0.0
36,14240,"['3c2.A', 'A1a']","[['3c2.A', 0.509090909090909], ['A1a', 0.4909090909090909]]",1.0
37,14243,"['3c2.A', 'A1a']","[['3c2.A', 0.5111111111111111], ['A1a', 0.4888888888888889]]",1.0
38,14268,"['3c2.A', 'A1a']","[['3c2.A', 0.42857142857142855], ['A1a', 0.42857142857142855], ['A3', 0.14285714285714285]]",0.0
39,14314,"['3c2.A', 'A1a']","[['3c2.A', 0.4956521739130435], ['A1a', 0.5], ['3c2', 0.004347826086956522]]",1.0
40,14431,"['3c2.A', 'A1a']","[['3c2.A', 0.4835164835164835], ['A1a', 0.4725274725274725], ['A1', 0.02197802197802198], ['3c2', 0.02197802197802198]]",1.0
